id,category,text
1,stress,"Saya merasa bahwa diri saya menjadi marah karena hal-hal sepele."
2,anxiety,"Saya merasa bibir saya sering kering."
3,depression,"Saya sama sekali tidak dapat merasakan perasaan positif."
4,anxiety,"Saya mengalami kesulitan bernapas."
5,depression,"Saya sepertinya tidak kuat lagi untuk melakukan suatu kegiatan."
6,stress,"Saya cenderung bereaksi berlebihan terhadap suatu situasi."
7,anxiety,"Saya merasa goyah."
8,stress,"Saya merasa sulit untuk bersantai."
9,anxiety,"Saya menemukan diri saya berada dalam situasi yang membuat saya merasa sangat cemas dan saya akan merasa sangat lega jika semuanya berakhir."
10,depression,"Saya merasa tidak ada hal yang dapat diharapkan di masa depan."
11,stress,"Saya menemukan diri saya mudah merasa kesal."
12,stress,"Saya merasa telah menghabiskan banyak energi karena merasa cemas."
13,depression,"Saya merasa sedih dan tertekan."
14,stress,"Saya menemukan diri saya menjadi tidak sabar ketika mengalami penundaan."
15,anxiety,"Saya merasa lemas seperti mau pingsan."
16,depression,"Saya merasa saya kehilangan minat akan segala hal."
17,depression,"Saya merasa bahwa saya tidak berharga sebagai seorang manusia."
18,stress,"Saya merasa bahwa saya mudah tersinggung."
19,anxiety,"Saya berkeringat secara berlebihan."
20,anxiety,"Saya merasa takut tanpa alasan yang jelas."
21,depression,"Saya merasa bahwa hidup tidak bermanfaat."
