text,label
apaansi dengerin apaan,neutral
apaan sih maksudnya,neutral
kayak apa,neutral
maksud lu apa,neutral
maksud kamu gimana,neutral
yang mana maksudnya,neutral
lanjut aja,neutral
oh terus gimana,neutral
aku cuma nanya aja,neutral
sotau banget lu wkwkwk,joy
wkwkwk ngaco juga,joy
haha iya lucu sih,joy
ngakak banget bacanya,joy
anjir lucu juga,joy
random banget tapi lucu,joy
gue seneng ngobrol kayak gini,joy
hari ini mood gue lumayan naik,joy
akhirnya bisa ketawa dikit,joy
kok lu tau itu berat,anxiety
aku takut salah langkah,anxiety
harus apa sekarang aku bingung,anxiety
deg degan nunggu kabar itu,anxiety
kepikiran terus dari tadi,anxiety
aku takut salah ngomong lagi,anxiety
rasanya gelisah nunggu jawaban,anxiety
aku bingung dan jadi overthinking,anxiety
besok takut gagal lagi,anxiety
hari ini berat banget,sadness
rasanya sedih tapi susah jelasin,sadness
aku pengen nangis malam ini,sadness
kosong banget rasanya,sadness
kecewa sama diri sendiri,sadness
aku lagi patah semangat,sadness
rasanya hampa dari tadi,sadness
aku kehilangan arah hari ini,sadness
semua terasa jauh dari harapan,sadness
aku capek mental,fatigue
otak gue penuh banget,fatigue
energi gue habis hari ini,fatigue
capek banget sampai susah mikir,fatigue
burnout sama rutinitas ini,fatigue
rasanya badan dan pikiran berat,fatigue
aku butuh istirahat sebentar,fatigue
lelah banget ngurus semuanya,fatigue
hari ini tenaga gue kosong,fatigue
aku ngerasa sendirian,loneliness
ga ada tempat cerita,loneliness
rasanya sepi banget malam ini,loneliness
aku pengen ditemenin tapi bingung ngomong,loneliness
semua orang kayak jauh,loneliness
gue ngerasa ga punya siapa siapa,loneliness
sepi banget walau rame,loneliness
aku cuma pengen ada yang dengerin,loneliness
sendiri terus capek juga,loneliness
gue kesal banget,anger
apaan sih nyebelin banget,anger
aku marah tapi tahan tahan,anger
kesel karena ga dihargai,anger
jengkel banget sama sikapnya,anger
rasanya pengen ngomel,anger
emosi gue naik dari tadi,anger
aku tersinggung sama omongannya,anger
capek digituin terus,anger
lega banget akhirnya selesai,relief
beban gue turun dikit,relief
akhirnya bisa napas lega,relief
untung masalahnya kelar,relief
rasanya lebih ringan sekarang,relief
aku mulai tenang lagi,relief
syukurlah ga separah yang kupikir,relief
akhirnya ga kepikiran terus,relief
hari ini agak plong,relief
aku malu banget,shame
ngerasa bersalah sama dia,shame
aku nyesel ngomong gitu,shame
malu karena gagal lagi,shame
ga enak udah bikin kecewa,shame
aku merasa bodoh banget,shame
rasanya pengen ngilang karena malu,shame
aku kecewa sama diriku sendiri,shame
takut dinilai buruk sama orang,shame
