category,pattern,weight,kind
crisis,\bbunuh\s*diri\b,3,current
crisis,\bmengakhiri\s+hidup\b,3,current
crisis,\bmenyakiti\s+diri\b,3,current
crisis,\bself\s*harm\b,3,current
crisis,\bmati\s+saja\b,3,current
violence,\bbacok\b,2,current
violence,\btusuk\b,2,current
violence,\bledak\b,2,current
violence,\bhajar\b,2,current
violence,\bserang\b,2,current
violence,\bpukul\s+berapa\b,0,ambiguous
violence,"\bpukul\s+\d{1,2}(\.\d{2})?\b",0,ambiguous
violence,\bpukul\s+jam\b,0,ambiguous
sexual,\bseks\b,1,current
sexual,\bporno\b,1,current
sexual,\bmesum\b,1,current
pii,\bnik\b,1,current
pii,\bktp\b,1,current
pii,\balamat\s+lengkap\b,1,current
pii,\bnomor\s+kartu\b,1,current
