text,label,source_model
gue emang lagi sedih ngobatin masalah keluarga ama adik gara-gara beliau nggak paham ya. aku jadi males mikir sama dia.,anger,qwen2.5:7b
"barusan adiknya minta penjelasan banyak-banyak, gua merasa kesal gitu aja, padahal udah diberi tahu deh ya.",anger,qwen2.5:7b
keluarga emang susah dipahami kadang. nih lagi ngerasa ganteng-ganteng tersinggung sama adik yang minta klarifikasi banyak.,anger,qwen2.5:7b
"bosan ngebahas masalah keluarga, gue merasa frustrasi gitu aja udah dibasmi deh ya.",anger,qwen2.5:7b
"adiknya bilang ngebantu seadanya, gua jadi nggak pinter lagi, rasanya emang kesal gitu.",anger,qwen2.5:7b
"ngerasa diabaikan sama adik, gue jadi lebih marah lagi. gue pikir udah dikasih tanggung jawab ama keluarga.",anger,qwen2.5:7b
"sering ngerasa nguras-nguras aja sama adik, rasanya emang kesal gitu aja, padahal cuma sebentar deh.",anger,qwen2.5:7b
"nih lagi ngeluh sama adik yang gak ngerti, gua merasa frustrasi gitu aja, udah dijelasin banyak kali masih ngeblunder aja.",anger,qwen2.5:7b
"adiknya minta klarifikasi soal harta warisan, gua jadi lebih marah lagi. ngerasa udah dibohongin gitu aja.",anger,qwen2.5:7b
"nih lagi menceritainya sama adik, rasanya emang tersinggung gitu aja, gua sudah berusaha sekuat tenaga tapi tetep dikritisi aja.",anger,qwen2.5:7b
"bosan ngebahas masalah keluarga, gue jadi nggak sabar sama adik yang sering bikin rumit-rumit sendiri.",anger,qwen2.5:7b
saya marah banget sama adiknya.,anger,qwen2.5:7b
tadi dia nggak sengaja ngelewatin kerjaanku dan gak minta izin.,anger,qwen2.5:7b
betul-betul kesal deh setiap kali begitu.,anger,qwen2.5:7b
"terus terang, rasanya jengkel kalo begini terus.",anger,qwen2.5:7b
saya bener2 tersinggung dengan cara dia bertindak.,anger,qwen2.5:7b
"frustrasi banget nih, udah beberapa kali seperti ini.",anger,qwen2.5:7b
adiknya sering bikin saya marah gitu.,anger,qwen2.5:7b
"kerjanya nggak dipedulikan sama sekali, rasanya terlalu banyak.",anger,qwen2.5:7b
tidak enak hati ya kalau sering begini.,anger,qwen2.5:7b
"saya jadi emosi kalo begitu, biasanya nangis.",anger,qwen2.5:7b
rasa kesalnya bener2 mereset setiap kali lihat dia.,anger,qwen2.5:7b
"seringnya bikin saya frustrasi juga, udah lama sekarang.",anger,qwen2.5:7b
biasanya saya merasa kesal sama diri sendiri karena gak bisa sempurna.,anger,qwen2.5:7b
"masa iku aku jadi marah gitu, emangnya udah terlalu?",anger,qwen2.5:7b
"aku ngerasa gak cukup aja, itu bikin aku jengkel.",anger,qwen2.5:7b
ini emangnya normal sih merasa kurang afdol gitu?,anger,qwen2.5:7b
emangnya lebih baik kalau gak pernah punya cita-cita?,anger,qwen2.5:7b
"lagi-lagi rasanya kesal sama diri sendiri, udah terlalu banyak harapan.",anger,qwen2.5:7b
kok bisa kayak gini ya? sering ngerasa enggak percaya diri.,anger,qwen2.5:7b
aku jadi cenderung marah aja kalau dicontohin sama orang lain.,anger,qwen2.5:7b
"sering merasa kurang berharga, bikin hati ini jadi penuh rasa marah.",anger,qwen2.5:7b
gak pernah terpikir ya bisa jadi seperti gini? sering banget ngerasa kesal.,anger,qwen2.5:7b
aku emang udah luar biasa kayak gini sih?,anger,qwen2.5:7b
"terlalu banyak harapan, bikin rasanya enggak cukup aja.",anger,qwen2.5:7b
maaf tadi saya sempet ngegas sama adiknya karena dia nggak mematuhi aturan rumah.,anger,qwen2.5:7b
"beneran gue kesal banget nih sama om yang suka nganggap gue sepelein, udah beberapa kali gitu",anger,qwen2.5:7b
"emang ada yang bikin emosi ya, baru tadi nyariin dokter online buat masalah keluarga",anger,qwen2.5:7b
jujur aja rasanya bener2 kesal nih sama kakak saya yang nggk peduli sama keadaan gue,anger,qwen2.5:7b
"lu udah ngerti gpp sih klo ga sempet ngekspresikan diri, tapi emang kali gue rasain gua jadi makin kesal aja.",anger,qwen2.5:7b
"kalo lagi mikirin masa depan lu, gua merasa nggak ada yang bakalan berhasil.",anger,qwen2.5:7b
gue bener-bener kesel ya klo liat rekan2 lu udah maju lebih cepet dibanding gue.,anger,qwen2.5:7b
"masa2an gua merasa lu jauh banget dari apa yang gua harapin, bikin gue iri aja nggak enak.",anger,qwen2.5:7b
"gue pake cara2 sendiri buat ngebantu diri gue, tapi seringnya jadi lebih kesal dan minder kalo gagal.",anger,qwen2.5:7b
"klo lagi mikirin lu gue merasa gua udah lelah sama situasi2 kayak gitu, gak sepadan aja.",anger,qwen2.5:7b
"gue pake kata2 negative doang ketika ngerenung2in diri lu, bikin gue jadi tambah minder dan kesal.",anger,qwen2.5:7b
"lu masih konsisten ngurus diri lu sendiri, tapi seringnya gua merasa lu lebih banyak menghakimi diri lu aja.",anger,qwen2.5:7b
"gue pake kata2 negatif untuk diri lu ketika ngerenung2in, bikin gue iri aja sama situasi lu.",anger,qwen2.5:7b
"lu udah coba2 banyak caranya klo mau maju, tapi gua merasa lu masih jauh dari apa yang diharapin.",anger,qwen2.5:7b
"gue sadar ngelihat rekan2 lu jadi lebih sukses dibanding gue, bikin gue terus minder dan kesal.",anger,qwen2.5:7b
"lu udah niat2 ngurus diri lu sendiri, tapi seringnya gua merasa lu lebih banyak menghakimi diri lu aja.",anger,qwen2.5:7b
"masa iya ya, kapan lagi.",anger,qwen2.5:7b
emangnya saya cuma bisa begini aja?,anger,qwen2.5:7b
gue marah-marahin gue sendiri dulu dulu.,anger,qwen2.5:7b
masa masih belum berhenti begitu? nggak mungkin aja.,anger,qwen2.5:7b
teman gue nggak tahu kalau dia udah ngecewain gue begini.,anger,qwen2.5:7b
"kok malah jadi seperti ini, sih?",anger,qwen2.5:7b
gue frustrasi banget dengan pekerjaan ini.,anger,qwen2.5:7b
"ngerasa kesal gitu aja sama rekan kerja,",anger,qwen2.5:7b
"seringnya kayak gimana ya, emangnya udah masalah besar?",anger,qwen2.5:7b
bikin gue marah sendiri sama situasinya itu.,anger,qwen2.5:7b
kok nggak bisa lebih baik dari begini?,anger,qwen2.5:7b
ngerasa terpinggirin di tengah kerjaan ini.,anger,qwen2.5:7b
sudah malam tapi ayah masih nggoro-nggoro.,anger,qwen2.5:7b
"mama, kenapa enggak masak makanannya?",anger,qwen2.5:7b
aku kesal sama adiknya yang selalu ngebut.,anger,qwen2.5:7bggr
ayah lagi main game terus nggak mau ngajarin bikin tugas sekolah.,anger,qwen2.5:7b
"adik terus ngetagih uang jajan, udah marah aja kok.",anger,qwen2.5:7b
mama bilang nggak bisa ikut rapat kerja nanti malam.,anger,qwen2.5:7b
"ayah selalu lupa waktu makan, kayaknya sengit.",anger,qwen2.5:7b
bikin nasi goreng mau siapa tahu ayah buka kulkas.,anger,qwen2.5:7b
terus minta duit beli mainan aja udah nggak sabar.,anger,qwen2.5:7b
"mama bilang nanti malam masak sup, seger ya.",anger,qwen2.5:7b
"ayah nggak ikutan ulangan harian aku, jadi kesal.",anger,qwen2.5:7b
"gue nggak bisa ninggalin pekerjaan nih, luh, jelas2 udah jam 7 dan masih di kantor",anger,qwen2.5:7b
"lu sabar aja ya, gua lagi kasian sama diri gue sendiri",anger,qwen2.5:7b
"gara-gara lupa nyetel alarm, sekarang udah telat dateng ke tempat kerja",anger,qwen2.5:7b
"bosan juga sih, tapi kalau nggak kerja rasanya pusing banget",anger,qwen2.5:7b
"lu minta ampun lu, gua cek per jam tuh sudah 10 kali",anger,qwen2.5:7b
"kontrol diri aja ya, gua udah lelah sama pekerjaan gue",anger,qwen2.5:7b
"gue emang lu ngantuk banget lu tapi tetep aja gak bisa tidur, jadi marah aja gitu lu",anger,qwen2.5:7b
"lu udah tahu enggak kalau gua sering marah-bener kalo ngantuk, padahal biasanya enakan",anger,qwen2.5:7b
"emang lu capek sih gua, tapi gue ngerasa masih marah-marah aja meskipun udah tidur",anger,qwen2.5:7b
"ntar lu ngerti lah ya, kalau gua sering marah klo kecapekan gitu, lumrah aja kan?",anger,qwen2.5:7b
